0.0	7.5	0.1	6.0	0.2
1.0	5.0	0.3	8.0	0.05
0.5	9.0	0.15	9.0	0.15
0.0	0.0	0.5	5.0	0.6
1.0	6.0	0.8	0.0	0.1
0.0	10.0	0.01	2.0	0.9
1.0	2.0	0.9	10.0	0.01
0.5	5.0	0.5	5.1	0.49
0.0	8.0	0.2	8.0	0.3
1.0	7.0	0.4	7.5	0.4
0.0	7.8	0.12	3.1	0.33
1.0	4.4	0.44	6.5	0.13
0.5	6.8	0.17	6.3	0.14
0.0	8.8	0.10	4.6	0.36
1.0	6.2	0.36	9.2	0.29
0.5	7.5	0.16	7.6	0.17
0.0	5.6	0.28	7.0	0.33
1.0	4.3	0.43	8.3	0.26
0.5	7.9	0.18	7.2	0.14
0.0	6.6	0.06	3.4	0.49
1.0	5.0	0.22	6.1	0.17
0.5	7.4	0.19	6.7	0.16
0.0	5.1	0.03	6.5	0.37
1.0	5.3	0.21	8.3	0.09
0.5	7.0	0.20	7.5	0.11
0.0	9.4	0.21	5.4	0.38
1.0	3.9	0.26	7.5	0.19
0.5	6.7	0.12	7.7	0.14
0.0	5.3	0.19	5.0	0.31
1.0	4.8	0.38	7.9	0.19
0.5	7.9	0.15	7.4	0.17
0.0	5.1	0.06	5.4	0.33
1.0	5.4	0.22	7.7	0.26
0.5	6.5	0.14	7.2	0.14
0.0	6.8	0.22	3.2	0.44
1.0	4.7	0.46	5.1	0.06
0.5	7.1	0.13	7.4	0.19
0.0	8.0	0.19	3.5	0.38
1.0	5.4	0.27	9.7	0.05
0.5	7.1	0.17	7.5	0.12
